Effective Date,Rate Type,Rate (%),1st Percentile (%),25th Percentile (%),75th Percentile (%),99th Percentile (%),Volume ($Billions),Target Rate From (%),Target Rate To (%),Intra Day - Low (%),Intra Day - High (%),Standard Deviation (%),30-Day Average SOFR,90-Day Average SOFR,180-Day Average SOFR,SOFR Index,Revision Indicator (Y/N),Footnote ID
03/01/2023,SOFR,4.55,4.46,4.52,4.58,4.63,1172,,,,,,,,,,,
02/28/2023,SOFR,4.55,4.35,4.53,4.59,4.64,1230,,,,,,,,,,,
02/27/2023,SOFR,4.55,4.45,4.52,4.57,4.62,1145,,,,,,,,,,,
02/24/2023,SOFR,4.55,4.45,4.52,4.56,4.61,1122,,,,,,,,,,,
02/23/2023,SOFR,4.55,4.45,4.52,4.56,4.61,1137,,,,,,,,,,,
02/22/2023,SOFR,4.55,4.47,4.52,4.57,4.62,1129,,,,,,,,,,,
02/21/2023,SOFR,4.55,4.46,4.53,4.57,4.62,1164,,,,,,,,,,,
02/17/2023,SOFR,4.55,4.47,4.53,4.58,4.64,1209,,,,,,,,,,,
02/16/2023,SOFR,4.55,4.48,4.54,4.6,4.64,1244,,,,,,,,,,,
02/15/2023,SOFR,4.55,4.48,4.54,4.6,4.64,1239,,,,,,,,,,,
02/14/2023,SOFR,4.55,4.47,4.53,4.59,4.63,1216,,,,,,,,,,,
02/13/2023,SOFR,4.55,4.48,4.53,4.58,4.63,1153,,,,,,,,,,,
02/10/2023,SOFR,4.55,4.47,4.53,4.58,4.63,1186,,,,,,,,,,,
02/09/2023,SOFR,4.55,4.48,4.53,4.59,4.64,1212,,,,,,,,,,,
02/08/2023,SOFR,4.55,4.47,4.53,4.58,4.63,1184,,,,,,,,,,,
02/07/2023,SOFR,4.55,4.48,4.53,4.58,4.63,1208,,,,,,,,,,,
02/06/2023,SOFR,4.55,4.47,4.53,4.58,4.62,1209,,,,,,,,,,,
02/03/2023,SOFR,4.55,4.48,4.53,4.58,4.63,1216,,,,,,,,,,,
02/02/2023,SOFR,4.56,4.32,4.54,4.6,4.64,1290,,,,,,,,,,,
02/01/2023,SOFR,4.31,4.23,4.3,4.35,4.4,1199,,,,,,,,,,,
01/31/2023,SOFR,4.31,4.23,4.3,4.36,4.41,1281,,,,,,,,,,,
01/30/2023,SOFR,4.3,4.22,4.28,4.33,4.4,1158,,,,,,,,,,,
01/27/2023,SOFR,4.3,4.23,4.29,4.33,4.38,1165,,,,,,,,,,,
01/26/2023,SOFR,4.3,4.23,4.29,4.34,4.39,1165,,,,,,,,,,,
01/25/2023,SOFR,4.31,4.23,4.29,4.34,4.38,1157,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
